Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Nom communes équipées
10024;Buisson Saint-Louis - Saint-Maur;OUI;19;10;7;4;3;OUI;OUI;2023-11-05T20:43:51+01:00;Paris
10016;Récollets - Square Villemin;OUI;17;15;1;1;0;OUI;OUI;2023-11-05T20:43:39+01:00;Paris
8045;Place de la Reine Astrid;OUI;54;42;10;7;3;OUI;OUI;2023-11-05T20:39:08+01:00;Paris
31009;Place Du Général De Gaulle;OUI;26;22;3;0;3;OUI;OUI;2023-11-05T20:42:03+01:00;Montreuil
18028;Championnet - Vauvenargues;OUI;33;28;4;2;2;OUI;OUI;2023-11-05T20:41:17+01:00;Paris
41302;Charles de Gaulle - Beauté;OUI;49;36;13;4;9;OUI;OUI;2023-11-05T20:42:30+01:00;Nogent-sur-Marne
8017;Rocher - Laborde;OUI;65;62;3;2;1;OUI;OUI;2023-11-05T20:41:26+01:00;Paris
15042;Henry Farman;OUI;16;6;10;7;3;OUI;OUI;2023-11-05T20:40:04+01:00;Paris
5124;Erasme - Ulm;OUI;24;21;2;0;2;OUI;OUI;2023-11-05T20:43:49+01:00;Paris
43008;Fontenay - Libération;OUI;25;17;8;5;3;OUI;OUI;2023-11-05T20:43:24+01:00;Vincennes
18046;Etienne Jodelle - Saint Ouen;OUI;33;30;0;0;0;OUI;OUI;2023-11-05T20:43:21+01:00;Paris
33102;Gabriel Péri - Francisco Ferrer;OUI;18;6;10;2;8;OUI;OUI;2023-11-05T20:38:22+01:00;Le Pré-Saint-Gervais
35002;Jean Jaurès - Presles;OUI;30;1;27;13;14;OUI;OUI;2023-11-04T08:47:08+01:00;Pantin
21212;Marne - Germain Dardan;OUI;22;21;1;1;0;OUI;OUI;2023-11-05T20:43:49+01:00;Montrouge
15109;Cevennes - Bergers;OUI;29;11;16;15;1;OUI;OUI;2023-11-05T20:43:44+01:00;Paris
15105;Fédération - Suffren;OUI;25;6;19;15;4;OUI;OUI;2023-11-05T20:43:50+01:00;Paris
14012;Sibelle - Alésia;OUI;25;15;10;5;5;OUI;OUI;2023-11-05T20:42:45+01:00;Paris
19103;Manin - Carrières d'Amérique;OUI;20;15;4;1;3;OUI;OUI;2023-11-05T20:41:13+01:00;Paris
21005;Hôtel de Ville de Boulogne Billancourt;OUI;26;21;4;3;1;OUI;OUI;2023-11-05T20:41:07+01:00;Boulogne-Billancourt
14138;Porte de Vanves;OUI;32;29;2;0;2;OUI;OUI;2023-11-05T20:41:01+01:00;Paris
14124;David Weill - Parc Montsouris;OUI;22;18;2;0;2;OUI;OUI;2023-11-05T20:42:06+01:00;Paris
17203;Place de la Porte de Champeret;NON;0;0;0;0;0;NON;NON;2023-07-25T12:08:24+02:00;Paris
44013;Edouard Tremblay - Julian Grimaux;OUI;30;22;8;2;6;OUI;OUI;2023-11-05T20:38:12+01:00;Vitry-sur-Seine
46003;Conservatoire de Musique;OUI;25;1;22;14;8;OUI;OUI;2023-11-05T20:43:50+01:00;Choisy-le-Roi
31008;François Debergue - Croix de Chavaux;OUI;57;50;6;4;2;OUI;OUI;2023-11-05T20:43:10+01:00;Montreuil
41209;Cimetière de Fontenay-sous-Bois;OUI;15;10;4;0;4;OUI;OUI;2023-11-05T20:42:29+01:00;Fontenay-sous-Bois
21015;Nationale - Place Jules Guesde;OUI;23;9;14;9;5;OUI;OUI;2023-11-05T20:40:35+01:00;Boulogne-Billancourt
13001;Port-Royal - Hôpital du Val-de-Grâce;OUI;18;6;10;8;2;OUI;OUI;2023-11-05T20:43:16+01:00;Paris
48010;Karl Marx;OUI;16;16;0;0;0;OUI;OUI;2023-11-05T20:40:32+01:00;Villejuif
42014;Place Marcel Cachin;OUI;32;3;29;28;1;OUI;OUI;2023-11-05T20:43:45+01:00;Ivry-sur-Seine
41202;Gare Rer de Fontenay sous Bois;OUI;61;50;11;10;1;OUI;OUI;2023-11-05T20:40:33+01:00;Fontenay-sous-Bois
15054;Lecourbe - Jean Maridor;OUI;19;3;14;11;3;OUI;OUI;2023-11-05T20:43:51+01:00;Paris
42021;Raspail - Manufacture des Oeillets;OUI;32;4;25;18;7;OUI;OUI;2023-11-05T20:43:35+01:00;Ivry-sur-Seine
15106;Grenelle - Violet;OUI;35;2;31;29;2;OUI;OUI;2023-11-05T20:43:51+01:00;Paris
11030;Oberkampf - République;OUI;24;3;21;17;4;OUI;OUI;2023-11-05T20:42:37+01:00;Paris
